T,CX 120530 (Condenser He4),T,CX 120536 (EV 4),T,CX 120560 (IC),T,CX 120258 (UC)
4.235,321.65,1.093,987.58,0.313,5331.5,0.271,1709
4.235,321.65,1.093,987.57,0.313,5336.9,0.271,1706.8
4.235,321.65,1.093,987.58,0.313,5336.3,0.271,1707.9
4.235,321.65,1.093,987.58,0.313,5337.4,0.271,1707.9
4.235,321.65,1.093,987.58,0.313,5337.1,0.271,1708.2
4.235,321.65,1.093,987.41,0.313,5336.9,0.271,1710.7
4.235,321.65,1.093,987.43,0.313,5336.8,0.271,1709.4
4.235,321.65,1.093,987.43,0.313,5336.5,0.271,1715.1
4.235,321.65,1.093,987.42,0.313,5331.5,0.271,1710.4
4.235,321.65,1.093,987.42,0.313,5331.7,0.271,1713.4
4.235,321.65,1.093,987.43,0.313,5332,0.271,1714.4
4.235,321.65,1.093,987.41,0.313,5331.6,0.271,1706.9
4.235,321.64,1.093,987.39,0.313,5331.8,0.271,1706.3
4.235,321.66,1.093,987.43,0.313,5331.2,0.271,1705.1
4.235,321.65,1.093,987.42,0.313,5331.7,0.271,1706
4.235,321.65,1.093,987.43,0.313,5331.5,0.271,1708.1
4.235,321.65,1.093,987.5,0.313,5331.2,0.271,1708.8
4.235,321.65,1.093,987.48,0.313,5331.6,0.271,1706.7
4.235,321.65,1.093,987.54,0.313,5331.6,0.271,1708.7
4.235,321.65,1.093,987.51,0.313,5332.1,0.271,1708.5
4.235,321.65,1.093,987.48,0.313,5331.9,0.271,1708.4
4.235,321.65,1.093,987.44,0.313,5331.6,0.271,1707.7
4.235,321.65,1.093,987.42,0.313,5331.3,0.271,1704.8
4.235,321.65,1.093,987.47,0.313,5331,0.271,1706.1
4.235,321.65,1.093,987.46,0.313,5330.8,0.271,1705.4
4.235,321.65,1.093,987.84,0.313,5331.1,0.271,1706.5
4.235,321.65,1.093,987.86,0.313,5331.3,0.271,1706.4
4.235,321.65,1.093,987.43,0.313,5331.1,0.271,1708.6
4.235,321.65,1.093,987.82,0.313,5331.3,0.271,1706.9
4.235,321.65,1.093,987.87,0.313,5331,0.271,1709.1
4.235,321.65,1.093,987.84,0.313,5345.1,0.271,1707.3
4.235,321.65,1.093,987.44,0.313,5345.6,0.271,1708.6
4.235,321.65,1.093,987.89,0.313,5330.9,0.271,1706.4
4.235,321.65,1.093,987.9,0.313,5330.5,0.271,1705.9
